,CustomerID,InvoiceDate,Recency,Frequency,Monetary,Cluster
0,12346.0,2023-01-18 10:01:00,325,1,77183.6,3
1,12347.0,2023-12-07 15:52:00,1,7,4310.0,0
2,12348.0,2023-09-25 13:13:00,74,4,1797.24,0
3,12349.0,2023-11-21 09:51:00,18,1,1757.55,0
4,12350.0,2023-02-02 16:01:00,309,1,334.4,1
5,12352.0,2023-11-03 14:37:00,35,8,2506.04,0
6,12353.0,2023-05-19 17:47:00,203,1,89.0,1
7,12354.0,2023-04-21 13:11:00,231,1,1079.4,1
8,12355.0,2023-05-09 13:49:00,213,1,459.4,1
9,12356.0,2023-11-17 08:40:00,22,3,2811.43,0
10,12357.0,2023-11-06 16:07:00,32,1,6207.67,0
11,12358.0,2023-12-08 10:26:00,1,2,1168.06,0
12,12359.0,2023-10-13 12:47:00,57,4,6310.03,0
13,12360.0,2023-10-18 15:22:00,51,3,2662.06,0
14,12361.0,2023-02-25 13:51:00,286,1,189.9,1
15,12362.0,2023-12-06 15:40:00,2,10,5226.23,0
16,12363.0,2023-08-22 10:18:00,109,2,552.0,0
17,12364.0,2023-12-02 10:22:00,7,4,1313.1,0
18,12365.0,2023-02-21 14:04:00,290,2,641.38,1
19,12367.0,2023-12-05 16:48:00,3,1,168.9,0
20,12370.0,2023-10-19 14:51:00,50,4,3541.94,0
21,12371.0,2023-10-26 10:16:00,44,2,1887.96,0
22,12372.0,2023-09-29 12:12:00,71,3,1298.04,0
23,12373.0,2023-02-01 13:10:00,310,1,364.6,1
24,12374.0,2023-11-14 15:37:00,24,1,742.9300000000001,0
25,12375.0,2023-11-29 10:36:00,10,2,457.5,0
26,12377.0,2023-01-28 15:45:00,314,2,1628.12,1
27,12378.0,2023-08-02 10:34:00,129,1,4008.62,0
28,12379.0,2023-09-19 10:09:00,81,2,852.24,0
29,12380.0,2023-11-18 11:27:00,21,4,2724.81,0
30,12381.0,2023-12-05 12:44:00,4,5,1845.31,0
31,12383.0,2023-06-08 08:02:00,184,5,1850.56,1
32,12384.0,2023-11-11 08:39:00,28,2,585.27,0
33,12386.0,2023-01-06 12:37:00,337,2,401.9,1
34,12388.0,2023-11-24 12:30:00,15,6,2780.66,0
35,12390.0,2023-09-21 09:33:00,79,1,549.84,0
36,12391.0,2023-11-18 12:07:00,21,1,439.66,0
37,12393.0,2023-09-28 15:41:00,71,4,1582.6000000000001,0
